brand,title,productPageUrl,offerPrice,quantity,standardUpc
Multipet,"Multipet Lamb Chop Plush Dog Toy, Medium, Colors May Vary",/ip/Multipet-Lamb-Chop-Plush-Dog-Toy-Medium-Colors-May-Vary/20711970,5.47,862,784369723243
Multipet,Multipet Talking Mr Bill Dog Toy,/ip/Multipet-Talking-Mr-Bill-Dog-Toy/15786656,6.84,6253,784369167153
Multipet,"Multipet Stuffing Free Floppy Moppy Loofa Plush Dog Toy, 12"", Color May Vary",/ip/Multipet-Stuffing-Free-Floppy-Moppy-Loofa-Plush-Dog-Toy-12-Color-May-Vary/20711966,2.97,20755,784369722444
Bark Box,BarkBox Stuffed Plush Dog Toy - His & Hairs Shampoo,/ip/BarkBox-Stuffed-Plush-Dog-Toy-His-Hairs-Shampoo/223520034,10.99,162,815944029624
Bark Box,BarkBox Stuffed Plush Dog Toy - Doggochrome Film Role,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Doggochrome-Film-Role/932036950,7.99,180,815944024629
Bark Box,BarkBox Stuffed Plush Tug Dog Toy - Shred Balloons,/ip/BarkBox-Stuffed-Plush-Tug-Dog-Toy-Shred-Balloons/407174958,11.19,155,815944027798
Chew King,"Chew King Nylon Antler Dog Chew Toy, Bacon Flavored",/ip/Chew-King-Nylon-Antler-Dog-Chew-Toy-Bacon-Flavored/611558442,10.99,425,83985100156
Bark Box,BarkBox Stuffed Plush Dog Toy - Point & Chew'd Camera,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Point-Chew-d-Camera/990224623,9.59,183,815944024612
Nylabone,Nylabone Daily Dental Rubber Braid Bone Bacon Flavor Medium/Wolf - Up to 35 lbs.,/ip/Nylabone-Daily-Dental-Rubber-Braid-Bone-Bacon-Flavor-Medium-Wolf-Up-to-35-lbs/44448055,8.83,174,18214832157
Vibrant Life,"Vibrant Life Cozy Buddy Dog Toy, Duck, Chew Level 1",/ip/Vibrant-Life-Cozy-Buddy-Dog-Toy-Duck-Chew-Level-1/951108912,4.97,14713,681131285353
Hartz,Hartz Dura Play Bone Size:Medium Pack of 3,/ip/Hartz-Dura-Play-Bone-Size-Medium-Pack-of-3/172184316,11.99,67,741533491650
Bark Box,BarkBox Stuffed Plush Dog Toy - Funfuzzi Cake,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Funfuzzi-Cake/839392917,9.99,107,815944027804
Premier Pet,Premier Pet Ring Holding Ball Durable Dog Chew Toy,/ip/Premier-Pet-Ring-Holding-Dog-Toy-For-Medium-Dogs-Ball-With-Refillable-Rawhide-Chew-Rings-Durable-Treat-and-Toy-Combo-for-Long-Lasting-Play/281519345,5.99,435,729849162716
Hyper Pet,"Hyper Pet Dura Squeaks Stick Dog Chew Toys, Medium, Green",/ip/Hyper-Pet-Dura-Squeaks-Stick-Dog-Chew-Toys-Medium-Green/55284046,5.66,2275,12575201225
Bark Box,BarkBox Stuffed Plush Dog Toy - Tito's Taxi,/ip/BarkBox-Stuffed-Plush-Dog-Toy-Tito-s-Taxi/694170812,9.99,124,815944022762
Petstages,Petstages Sssupreme Snake Mat Dog Toy,/ip/Petstages-Sssupreme-Snake-Mat-Dog-Toy/122122992,4.97,251,700603321532
Outward Hound,"Outward Hound Hedgehogz Grunting Plush Dog Toy, Brown, Medium",/ip/Outward-Hound-Hedgehogz-Grunting-Plush-Dog-Toy-Brown-Medium/170656549,7.99,1834,700603320221
BarkBox,BARK Super Chewer Rubber Dog Toy - Floatus Blowfish,/ip/BARK-Super-Chewer-Rubber-Dog-Toy-Floatus-Blowfish/116525729,11.2,471,815944028788
Multipet,"Multipet Lamb Chop Plush Dog Toy, Small, Colors May Vary",/ip/Multipet-Lamb-Chop-Plush-Dog-Toy-Small-Colors-May-Vary/45750410,2.72,870,784369725537
Hartz Dura Play,Hartz Dura Play Tug Fun Double Ring Bacon Scented Dog Toy,/ip/Hartz-Dura-Play-Tug-Fun-Double-Ring-Bacon-Scented-Dog-Toy/112185651?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:0C9i2WFQ3PnL417UX1QeqGRzx3TdDlfF0KS4C2G-hfCdR3a1pUd32HLHulnPGEyAgQSJ6odAn4kKNkJmVifRIHdUVlRKMweEJGSJQ-6BOVOdUcbhqpDNlG6JvfJb54OJitDTx4Hk3-mn9BV2fxygt2opeS2YgZPrxYn2cRNOa15Ub1yX8nQC5FxQkHLC0JZPzvutgEcxFvKSYet36H1sSQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=37&wpa_plmt=__plmt__&wpa_aduid=__aduid__,7.27,31,32700153861
Nerf,7in Blitz Squeak Football - Green,/ip/7in-Blitz-Squeak-Football-Green/36159290,8.97,652,846998069977
Petstages,"Petstages Orka Flyer Flying Disc Dog Toy, Royal Blue, One-Size",/ip/Petstages-Orka-Flyer-Flying-Disc-Dog-Toy-Royal-Blue-One-Size/15388712?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:1kefaMYdQ_3rqVdssGGiA7Jkc4q1qd4Rz_jR_Pzq7ExIYPgQAsp6jmUmkwzZFwGZ9YYJoTUwhNTE3zkULQJUAwdWZn9iCNNb5czhqcW5f5r9EEEjI5e08eA6y9CTBd3X5x5SHyOI0e4tHrIAU7mCX76SYy_mGg3oL2i13vV8coVFoMnK52_P22-2fpxY_hr84t1OCtD9WKsGqRyfP49k9w&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=39&wpa_plmt=__plmt__&wpa_aduid=__aduid__,10.3,192,871864002314
Nylabone,Nylabone Small Dog Value Pack 3 Count X-Small/Petite - Up to 15 lbs.,/ip/Nylabone-Small-Dog-Value-Pack-3-Count-X-Small-Petite-Up-to-15-lbs/20846033,6.88,70,18214826712
Bark Box,BarkBox Stuffed Plush Tug Dog Toy - Roll Over Party Blower,/ip/BarkBox-Stuffed-Plush-Tug-Dog-Toy-Roll-Over-Party-Blower/840968989,9.99,160,815944027866
Bark Box,BarkBox Stuffed Plush Tug Dog Toy - The Party Farter,/ip/BarkBox-Stuffed-Plush-Tug-Dog-Toy-The-Party-Farter/518134510,7.99,133,815944027835
DreamBone,DreamBone Chicken Flavored Rawhide-Free Dog Chews,/ip/DreamBone-Chicken-Flavored-Rawhide-Free-Dog-Chews-Mini-22-5-Oz-40-Count/45911860?wpa_bd=&wpa_pg_seller_id=F55CDC31AB754BB68FE0B39041159D63&wpa_ref_id=wpaqs:6ikQK939mO-r97T1jObIfSuMeQeh_tThE67AgfVmBeWbOMUedwKb2Pd3XgJcLhgAgQSJ6odAn4kKNkJmVifRIII0Rg_cg0-hzX-h1t2vHtQIy4OMIqxXCa1ZcKtxuL2x3aFZCMVRxXNGYPCn89XFvRkcSpTzxaZrw67o1HZA9mhuzr4S3T5_LomWTUu506ZRlNjY_3WoYkVJIUxhnI3EXQ&wpa_tag=__tag__&wpa_aux_info=__aux_info__&wpa_pos=3&wpa_plmt=__plmt__&wpa_aduid=__aduid__,10.98,906,810833023707
